CustomerID,Lookalikes
C0001,"[('C0137', 0.999), ('C0191', 0.999), ('C0011', 0.999)]"
C0002,"[('C0088', 0.998), ('C0027', 0.998), ('C0106', 0.994)]"
C0003,"[('C0190', 0.999), ('C0147', 0.998), ('C0174', 0.996)]"
C0004,"[('C0113', 0.999), ('C0034', 0.997), ('C0169', 0.996)]"
C0005,"[('C0007', 1.0), ('C0146', 1.0), ('C0115', 0.998)]"
C0006,"[('C0048', 0.999), ('C0107', 0.999), ('C0184', 0.998)]"
C0007,"[('C0146', 1.0), ('C0005', 1.0), ('C0115', 0.999)]"
C0008,"[('C0018', 0.996), ('C0068', 0.993), ('C0034', 0.993)]"
C0009,"[('C0198', 0.992), ('C0042', 0.983), ('C0058', 0.976)]"
C0010,"[('C0008', 0.992), ('C0034', 0.987), ('C0018', 0.983)]"
C0011,"[('C0107', 0.999), ('C0001', 0.999), ('C0137', 0.998)]"
C0012,"[('C0163', 0.999), ('C0153', 0.999), ('C0148', 0.998)]"
C0013,"[('C0148', 0.999), ('C0163', 0.999), ('C0104', 0.998)]"
C0014,"[('C0020', 0.998), ('C0130', 0.989), ('C0015', 0.988)]"
C0015,"[('C0020', 0.996), ('C0198', 0.993), ('C0042', 0.991)]"
C0016,"[('C0185', 0.999), ('C0050', 0.996), ('C0079', 0.996)]"
C0017,"[('C0041', 0.997), ('C0124', 0.993), ('C0075', 0.991)]"
C0018,"[('C0046', 0.998), ('C0082', 0.997), ('C0122', 0.997)]"
C0019,"[('C0166', 1.0), ('C0073', 0.998), ('C0197', 0.997)]"
C0020,"[('C0014', 0.998), ('C0015', 0.996), ('C0058', 0.985)]"
